"endTime","artistName","trackName","msPlayed","segPlayed","minPlayed","mesAño"
2019-01-22 16:27:00,"Taron Egerton","I'm Still Standing - From ""Sing"" Original Motion Picture Soundtrack",187853,187.853,3.13,"enero 19"
2019-01-22 16:30:00,"Inspector","Es Por Ti",215680,215.68,3.59,"enero 19"
2019-01-22 16:34:00,"Queen","Under Pressure",237520,237.52,3.96,"enero 19"
2019-01-22 16:38:00,"Katy Perry","Dark Horse",215672,215.672,3.59,"enero 19"
2019-01-22 16:41:00,"Lorde","Writer In The Dark",216610,216.61,3.61,"enero 19"
2019-01-22 16:42:00,"Los Amigos Invisibles","Mentiras",3206,3.206,0.05,"enero 19"
2019-01-22 16:44:00,"The Spencer Davis Group","Gimme Some Lovin' - Single Mix",174613,174.613,2.91,"enero 19"
2019-01-22 16:44:00,"Los Loud Jets","Hermosa Laura",3921,3.921,0.07,"enero 19"
2019-01-22 16:45:00,"The Beach Boys","Good Vibrations - Remastered",1532,1.532,0.03,"enero 19"
2019-01-22 16:45:00,"Elenco de Soy Luna","Fush, ¡Te Vas!",4222,4.222,0.07,"enero 19"
2019-01-22 16:45:00,"Kabah","La Calle De Las Sirenas",2818,2.818,0.05,"enero 19"
2019-01-22 16:45:00,"Chuck Berry","Johnny B. Goode",3626,3.626,0.06,"enero 19"
2019-01-22 16:45:00,"Silvio Rodríguez","La Familia, la Propiedad Privada y el Amor",2816,2.816,0.05,"enero 19"
2019-01-22 16:45:00,"Dwayne Johnson","You're Welcome",3522,3.522,0.06,"enero 19"
2019-01-22 16:45:00,"The Beatles","A Day In The Life - Remastered 2009",3828,3.828,0.06,"enero 19"
2019-01-22 16:45:00,"Caifanes","Estás Dormida",3473,3.473,0.06,"enero 19"
2019-01-22 16:45:00,"Los Teen Tops","La Suegra (Mother in Law)",3133,3.133,0.05,"enero 19"
2019-01-22 16:45:00,"Elenco de Soy Luna","Prófugos",2730,2.73,0.05,"enero 19"
